id;nombre;nombreCompleto;edad;nacionalidad;puntuacion;potencial;equipo;precio;salarioSemana;posicion;foto
233049;J. Sancho;Jadon Sancho;20;England;87;93;Borussia Dortmund;69500000;82000;CAM;https://cdn.sofifa.com/players/233/049/21_60.png
231281;T. Alexander-Arnold;Trent Alexander-Arnold;21;England;87;92;Liverpool;60000000;110000;RB;https://cdn.sofifa.com/players/231/281/21_60.png
218667;Bernardo Silva;Bernardo Mota Carvalho e Silva;25;Portugal;87;88;Manchester City;60000000;230000;RW;https://cdn.sofifa.com/players/218/667/21_60.png
216267;A. Robertson;Andrew Robertson;26;Scotland;87;89;Liverpool;53000000;155000;LB;https://cdn.sofifa.com/players/216/267/21_60.png
212218;A. Laporte;Aymeric Laporte;26;France;87;90;Manchester City;56000000;200000;CB;https://cdn.sofifa.com/players/212/218/21_60.png
212198;Bruno Fernandes;Bruno Miguel Borges Fernandes;25;Portugal;87;90;Manchester United;63000000;195000;CAM;https://cdn.sofifa.com/players/212/198/21_60.png
209499;Fabinho;Fábio Henrique Tavares;26;Brazil;87;89;Liverpool;54500000;155000;CDM;https://cdn.sofifa.com/players/209/499/21_60.png
201942;Roberto Firmino;Roberto Firmino Barbosa de Oliveira;28;Brazil;87;87;Liverpool;52000000;190000;CF;https://cdn.sofifa.com/players/201/942/21_60.png
189511;Sergio Busquets;Sergio Busquets Burgos;31;Spain;87;87;FC Barcelona;38000000;240000;CDM;https://cdn.sofifa.com/players/189/511/21_60.png
168542;David Silva;David Josué Jiménez Silva;34;Spain;86;86;Real Sociedad;22500000;58000;CAM;https://cdn.sofifa.com/players/168/542/21_60.png
143076;A. Gómez;Alejandro Gómez;32;Argentina;86;86;Atalanta;34500000;100000;CAM;https://cdn.sofifa.com/players/143/076/21_60.png
152729;Piqué;Gerard Piqué Bernabeu;33;Spain;86;86;FC Barcelona;21000000;220000;CB;https://cdn.sofifa.com/players/152/729/21_60.png
177683;Y. Sommer;Yann Sommer;31;Switzerland;86;86;Borussia Mönchengladbach;28500000;55000;GK;https://cdn.sofifa.com/players/177/683/21_60.png
189332;Jordi Alba;Jordi Alba Ramos;31;Spain;86;86;FC Barcelona;32000000;220000;LB;https://cdn.sofifa.com/players/189/332/21_60.png
204963;Carvajal;Daniel Carvajal Ramos;28;Spain;86;86;Real Madrid;38000000;230000;RB;https://cdn.sofifa.com/players/204/963/21_60.png
201535;R. Varane;Raphaël Varane;27;France;86;88;Real Madrid;46500000;220000;CB;https://cdn.sofifa.com/players/201/535/21_60.png
199556;M. Verratti;Marco Verratti;27;Italy;86;87;Paris Saint-Germain;50000000;135000;CM;https://cdn.sofifa.com/players/199/556/21_60.png
195864;P. Pogba;Paul Pogba;27;France;86;87;Manchester United;50000000;190000;CM;https://cdn.sofifa.com/players/195/864/21_60.png
193080;De Gea;David De Gea Quintana;29;Spain;86;86;Manchester United;31500000;150000;GK;https://cdn.sofifa.com/players/193/080/21_60.png
189596;T. Müller;Thomas Müller;30;Germany;86;86;FC Bayern München;42000000;130000;CAM;https://cdn.sofifa.com/players/189/596/21_60.png
208830;J. Vardy;Jamie Vardy;33;England;86;86;Leicester City;28000000;160000;ST;https://cdn.sofifa.com/players/208/830/21_60.png
178603;M. Hummels;Mats Hummels;31;Germany;86;86;Borussia Dortmund;33000000;93000;CB;https://cdn.sofifa.com/players/178/603/21_60.png
183711;J. Henderson;Jordan Henderson;30;England;86;86;Liverpool;36500000;140000;CDM;https://cdn.sofifa.com/players/183/711/21_60.png
230621;G. Donnarumma;Gianluigi Donnarumma;21;Italy;85;92;Milan;41500000;34000;GK;https://cdn.sofifa.com/players/230/621/21_60.png
231866;Rodri;Rodrigo Hernández Cascante;24;Spain;85;88;Manchester City;44000000;145000;CDM;https://cdn.sofifa.com/players/231/866/21_60.png
232363;M. Škriniar;Milan Škriniar;25;Slovakia;85;89;Inter;44500000;130000;CB;https://cdn.sofifa.com/players/232/363/21_60.png
235243;M. de Ligt;Matthijs de Ligt;20;Netherlands;85;92;Juventus;49500000;80000;CB;https://cdn.sofifa.com/players/235/243/21_60.png
235790;K. Havertz;Kai Havertz;21;Germany;85;93;Chelsea;57000000;105000;CAM;https://cdn.sofifa.com/players/235/790/21_60.png
228702;F. de Jong;Frenkie de Jong;23;Netherlands;85;90;FC Barcelona;50500000;190000;CM;https://cdn.sofifa.com/players/228/702/21_60.png
231677;M. Rashford;Marcus Rashford;22;England;85;91;Manchester United;53000000;150000;RM;https://cdn.sofifa.com/players/231/677/21_60.png
223848;S. Milinković-Savić;Sergej Milinković-Savić;25;Serbia;85;89;Lazio;49000000;94000;CM;https://cdn.sofifa.com/players/223/848/21_60.png
191043;Alex Sandro;Alex Sandro Lobo Silva;29;Brazil;85;85;Juventus;31500000;120000;LB;https://cdn.sofifa.com/players/191/043/21_60.png
164240;Thiago Silva;Thiago Emiliano da Silva;35;Brazil;85;85;Chelsea;11500000;93000;CB;https://cdn.sofifa.com/players/164/240/21_60.png
175943;D. Mertens;Dries Mertens;33;Belgium;85;85;Napoli;24000000;115000;CF;https://cdn.sofifa.com/players/175/943/21_60.png
222492;L. Sané;Leroy Sané;24;Germany;85;90;FC Bayern München;51500000;100000;LM;https://cdn.sofifa.com/players/222/492/21_60.png
181291;G. Wijnaldum;Georginio Wijnaldum;29;Netherlands;85;85;Liverpool;37000000;150000;CM;https://cdn.sofifa.com/players/181/291/21_60.png
182493;D. Godín;Diego Godín;34;Uruguay;85;85;Cagliari;14500000;56000;CB;https://cdn.sofifa.com/players/182/493/21_60.png
184087;T. Alderweireld;Toby Alderweireld;31;Belgium;85;85;Tottenham Hotspur;28500000;130000;CB;https://cdn.sofifa.com/players/184/087/21_60.png
184344;L. Bonucci;Leonardo Bonucci;33;Italy;85;85;Juventus;18000000;110000;CB;https://cdn.sofifa.com/players/184/344/21_60.png
185122;P. Gulácsi;Péter Gulácsi;30;Hungary;85;85;RB Leipzig;26000000;65000;GK;https://cdn.sofifa.com/players/185/122/21_60.png
188350;M. Reus;Marco Reus;31;Germany;85;85;Borussia Dortmund;34000000;94000;CAM;https://cdn.sofifa.com/players/188/350/21_60.png
188377;K. Walker;Kyle Walker;30;England;85;85;Manchester City;30500000;170000;RB;https://cdn.sofifa.com/players/188/377/21_60.png
189509;Thiago;Thiago Alcântara;29;Spain;85;85;Liverpool;37000000;150000;CM;https://cdn.sofifa.com/players/189/509/21_60.png
189513;Parejo;Daniel Parejo Muñoz;31;Spain;85;85;Villarreal CF;33000000;59000;CM;https://cdn.sofifa.com/players/189/513/21_60.png
190460;C. Eriksen;Christian Eriksen;28;Denmark;85;85;Inter;39000000;155000;CAM;https://cdn.sofifa.com/players/190/460/21_60.png
180206;M. Pjanić;Miralem Pjanić;30;Bosnia Herzegovina;85;85;FC Barcelona;35500000;220000;CM;https://cdn.sofifa.com/players/180/206/21_60.png
192505;R. Lukaku;Romelu Lukaku;27;Belgium;85;86;Inter;45000000;165000;ST;https://cdn.sofifa.com/players/192/505/21_60.png
193747;Koke;Jorge Resurrección;28;Spain;85;85;Atlético Madrid;38000000;92000;CM;https://cdn.sofifa.com/players/193/747/21_60.png
198219;L. Insigne;Lorenzo Insigne;29;Italy;85;85;Napoli;37500000;120000;LW;https://cdn.sofifa.com/players/198/219/21_60.png
198706;Luis Alberto;Luis Alberto Romero Alconchel;27;Spain;85;85;Lazio;40500000;99000;CAM;https://cdn.sofifa.com/players/198/706/21_60.png
201399;M. Icardi;Mauro Icardi;27;Argentina;85;86;Paris Saint-Germain;45000000;135000;ST;https://cdn.sofifa.com/players/201/399/21_60.png
202556;M. Depay;Memphis Depay;26;Netherlands;85;88;Olympique Lyonnais;48500000;115000;CAM;https://cdn.sofifa.com/players/202/556/21_60.png
204485;R. Mahrez;Riyad Mahrez;29;Algeria;85;85;Manchester City;37500000;210000;RW;https://cdn.sofifa.com/players/204/485/21_60.png
206113;S. Gnabry;Serge Gnabry;24;Germany;85;87;FC Bayern München;47500000;100000;RM;https://cdn.sofifa.com/players/206/113/21_60.png
212188;T. Werner;Timo Werner;24;Germany;85;88;Chelsea;49500000;135000;ST;https://cdn.sofifa.com/players/212/188/21_60.png
210243;Ricardo Pereira;Ricardo Barbosa Pereira;26;Portugal;85;86;Leicester City;39500000;120000;RB;https://cdn.sofifa.com/players/210/243/21_60.png
208670;H. Ziyech;Hakim Ziyech;27;Morocco;85;86;Chelsea;44000000;140000;CAM;https://cdn.sofifa.com/players/208/670/21_60.png
207865;Marquinhos;Marcos Aoás Corrêa;26;Brazil;85;89;Paris Saint-Germain;44000000;115000;CB;https://cdn.sofifa.com/players/207/865/21_60.png
192563;B. Leno;Bernd Leno;28;Germany;85;87;Arsenal;33500000;105000;GK;https://cdn.sofifa.com/players/192/563/21_60.png
220440;C. Lenglet;Clément Lenglet;25;France;85;89;FC Barcelona;44500000;190000;CB;https://cdn.sofifa.com/players/220/440/21_60.png
216352;M. Brozović;Marcelo Brozović;27;Croatia;84;85;Inter;32000000;125000;CDM;https://cdn.sofifa.com/players/216/352/21_60.png
230142;Oyarzabal;Mikel Oyarzabal Ugarte;23;Spain;84;90;Real Sociedad;42500000;47000;CAM;https://cdn.sofifa.com/players/230/142/21_60.png
216460;J. Giménez;José María Giménez;25;Uruguay;84;88;Atlético Madrid;36000000;70000;CB;https://cdn.sofifa.com/players/216/460/21_60.png
226753;A. Onana;André Onana;24;Cameroon;84;88;Ajax;30000000;18000;GK;https://cdn.sofifa.com/players/226/753/21_60.png
226790;W. Ndidi;Wilfred Ndidi;23;Nigeria;84;88;Leicester City;36500000;96000;CB;https://cdn.sofifa.com/players/226/790/21_60.png
212462;Alex Telles;Alex Nicolao Telles;27;Brazil;84;85;Manchester United;31000000;145000;LB;https://cdn.sofifa.com/players/212/462/21_60.png
230658;Arthur;Arthur Henrique Ramos Oliveira Melo;23;Brazil;84;89;Juventus;41000000;98000;CM;https://cdn.sofifa.com/players/230/658/21_60.png
231478;L. Martínez;Lautaro Martínez;22;Argentina;84;91;Inter;44500000;130000;ST;https://cdn.sofifa.com/players/231/478/21_60.png
213345;K. Coman;Kingsley Coman;24;France;84;88;FC Bayern München;40500000;94000;RM;https://cdn.sofifa.com/players/213/345/21_60.png
212190;N. Süle;Niklas Süle;24;Germany;84;89;FC Bayern München;37500000;84000;CB;https://cdn.sofifa.com/players/212/190/21_60.png
212194;J. Brandt;Julian Brandt;24;Germany;84;88;Borussia Dortmund;40500000;75000;CAM;https://cdn.sofifa.com/players/212/194/21_60.png
211300;A. Martial;Anthony Martial;24;France;84;88;Manchester United;41000000;155000;ST;https://cdn.sofifa.com/players/211/300/21_60.png
211256;N. Tagliafico;Nicolás Tagliafico;27;Argentina;84;84;Ajax;27500000;27000;LB;https://cdn.sofifa.com/players/211/256/21_60.png
210035;Grimaldo;Alejandro Grimaldo García;24;Spain;84;88;SL Benfica;35500000;20000;LWB;https://cdn.sofifa.com/players/210/035/21_60.png
209989;T. Partey;Thomas Partey;27;Ghana;84;85;Arsenal;35000000;120000;CDM;https://cdn.sofifa.com/players/209/989/21_60.png
204838;R. Jiménez;Raúl Jiménez;29;Mexico;84;84;Wolverhampton Wanderers;31000000;140000;ST;https://cdn.sofifa.com/players/204/838/21_60.png
209889;R. Guerreiro;Raphaël Guerreiro;26;Portugal;84;85;Borussia Dortmund;36500000;86000;CAM;https://cdn.sofifa.com/players/209/889/21_60.png
209658;L. Goretzka;Leon Goretzka;25;Germany;84;88;FC Bayern München;39500000;105000;CM;https://cdn.sofifa.com/players/209/658/21_60.png
208421;Saúl;Saúl Ñíguez Esclápez;25;Spain;84;87;Atlético Madrid;38500000;77000;CM;https://cdn.sofifa.com/players/208/421/21_60.png
239085;E. Haaland;Erling Haaland;19;Norway;84;92;Borussia Dortmund;45000000;56000;ST;https://cdn.sofifa.com/players/239/085/21_60.png
178005;Rui Patrício;Rui Pedro dos Santos Patrício;32;Portugal;84;84;Wolverhampton Wanderers;19000000;90000;GK;https://cdn.sofifa.com/players/178/005/21_60.png
192629;Iago Aspas;Iago Aspas Juncal;32;Spain;84;84;RC Celta;25000000;46000;ST;https://cdn.sofifa.com/players/192/629/21_60.png
190483;Douglas Costa;Douglas Costa de Souza;29;Brazil;84;84;FC Bayern München;30500000;110000;LM;https://cdn.sofifa.com/players/190/483/21_60.png
193165;J. Corona;Jesús Corona;27;Mexico;84;84;FC Porto;32500000;25000;RM;https://cdn.sofifa.com/players/193/165/21_60.png
193474;I. Gueye;Idrissa Gueye;30;Senegal;84;84;Paris Saint-Germain;25500000;105000;CDM;https://cdn.sofifa.com/players/193/474/21_60.png
197445;D. Alaba;David Alaba;28;Austria;84;84;FC Bayern München;27500000;105000;CB;https://cdn.sofifa.com/players/197/445/21_60.png
197781;Isco;Francisco Román Alarcón Suárez;28;Spain;84;84;Real Madrid;31500000;210000;CAM;https://cdn.sofifa.com/players/197/781/21_60.png
197965;Pizzi;Luis Miguel Afonso Fernandes;30;Portugal;84;84;SL Benfica;29500000;25000;RM;https://cdn.sofifa.com/players/197/965/21_60.png
198176;S. de Vrij;Stefan de Vrij;28;Netherlands;84;85;Inter;30500000;130000;CB;https://cdn.sofifa.com/players/198/176/21_60.png
199451;W. Ben Yedder;Wissam Ben Yedder;29;France;84;84;AS Monaco;31000000;91000;CF;https://cdn.sofifa.com/players/199/451/21_60.png
200458;L. Digne;Lucas Digne;26;France;84;85;Everton;31500000;110000;LB;https://cdn.sofifa.com/players/200/458/21_60.png
200647;J. Iličić;Josip Iličić;32;Slovenia;84;84;Atalanta;25000000;92000;CAM;https://cdn.sofifa.com/players/200/647/21_60.png
135507;Fernandinho;Fernando Luiz Rosa;35;Brazil;84;84;Manchester City;9500000;110000;CB;https://cdn.sofifa.com/players/135/507/21_60.png
146536;Jesús Navas;Jesús Navas González;34;Spain;84;84;Sevilla FC;11000000;43000;RB;https://cdn.sofifa.com/players/146/536/21_60.png
163587;K. Schmeichel;Kasper Schmeichel;33;Denmark;84;84;Leicester City;17000000;90000;GK;https://cdn.sofifa.com/players/163/587/21_60.png
168435;S. Sirigu;Salvatore Sirigu;33;Italy;84;84;Torino;17000000;54000;GK;https://cdn.sofifa.com/players/168/435/21_60.png
176266;Lucas Leiva;Lucas Pezzini Leiva;33;Brazil;84;84;Lazio;15000000;83000;CDM;https://cdn.sofifa.com/players/176/266/21_60.png
177413;A. Witsel;Axel Witsel;31;Belgium;84;84;Borussia Dortmund;23500000;79000;CDM;https://cdn.sofifa.com/players/177/413/21_60.png
179813;E. Cavani;Edinson Cavani;33;Uruguay;84;84;Manchester United;19500000;175000;ST;https://cdn.sofifa.com/players/179/813/21_60.png
184432;Azpilicueta;César Azpilicueta Tanco;30;Spain;84;84;Chelsea;24500000;120000;RB;https://cdn.sofifa.com/players/184/432/21_60.png
185020;José Callejón;José María Callejón Bueno;33;Spain;84;84;Fiorentina;19000000;85000;RM;https://cdn.sofifa.com/players/185/020/21_60.png
189117;R. Bürki;Roman Bürki;29;Switzerland;84;85;Borussia Dortmund;25000000;67000;GK;https://cdn.sofifa.com/players/189/117/21_60.png
207863;Felipe;Felipe Augusto de Almeida Monteiro;31;Brazil;84;84;Atlético Madrid;23000000;74000;CB;https://cdn.sofifa.com/players/207/863/21_60.png
41236;Z. Ibrahimović;Zlatan Ibrahimović;38;Sweden;83;83;Milan;9500000;49000;ST;https://cdn.sofifa.com/players/041/236/21_60.png
205069;Juan Bernat;Juan Bernat Velasco;27;Spain;83;84;Paris Saint-Germain;25500000;95000;LB;https://cdn.sofifa.com/players/205/069/21_60.png
230666;Gabriel Jesus;Gabriel Fernando de Jesus;23;Brazil;83;87;Manchester City;34500000;150000;ST;https://cdn.sofifa.com/players/230/666/21_60.png
212151;T. Strakosha;Thomas Strakosha;25;Albania;83;88;Lazio;25500000;57000;GK;https://cdn.sofifa.com/players/212/151/21_60.png
215333;D. Zapata;Duván Zapata;29;Colombia;83;83;Atalanta;26000000;87000;ST;https://cdn.sofifa.com/players/215/333/21_60.png
216547;Rafa;Rafael A. Ferreira Silva;27;Portugal;83;83;SL Benfica;27000000;23000;LM;https://cdn.sofifa.com/players/216/547/21_60.png
216594;N. Fekir;Nabil Fekir;26;France;83;84;Real Betis;30500000;38000;CAM;https://cdn.sofifa.com/players/216/594/21_60.png
219693;Diego Carlos;Diego Carlos Santos Silva;27;Brazil;83;85;Sevilla FC;27000000;39000;CB;https://cdn.sofifa.com/players/219/693/21_60.png
220407;M. Dúbravka;Martin Dúbravka;31;Slovakia;83;83;Newcastle United;16500000;47000;GK;https://cdn.sofifa.com/players/220/407/21_60.png
221087;Pau López;Pau López Sabata;25;Spain;83;88;Roma;25500000;500;GK;https://cdn.sofifa.com/players/221/087/21_60.png
221363;D. van de Beek;Donny van de Beek;23;Netherlands;83;87;Manchester United;33000000;125000;CM;https://cdn.sofifa.com/players/221/363/21_60.png
222665;M. Ødegaard;Martin Ødegaard;21;Norway;83;89;Real Madrid;36000000;135000;CAM;https://cdn.sofifa.com/players/222/665/21_60.png
224334;M. Acuña;Marcos Acuña;28;Argentina;83;83;Sevilla FC;22000000;41000;LB;https://cdn.sofifa.com/players/224/334/21_60.png
225100;J. Gomez;Joe Gomez;23;England;83;88;Liverpool;31000000;93000;CB;https://cdn.sofifa.com/players/225/100/21_60.png
227928;Nélson Semedo;Nélson Cabral Semedo;26;Portugal;83;86;Wolverhampton Wanderers;28000000;100000;RWB;https://cdn.sofifa.com/players/227/928/21_60.png
228618;F. Mendy;Ferland Mendy;25;France;83;88;Real Madrid;30500000;160000;LB;https://cdn.sofifa.com/players/228/618/21_60.png
229261;D. Zakaria;Denis Zakaria;23;Switzerland;83;87;Borussia Mönchengladbach;30500000;45000;CDM;https://cdn.sofifa.com/players/229/261/21_60.png
229880;A. Wan-Bissaka;Aaron Wan-Bissaka;22;England;83;88;Manchester United;30500000;115000;RB;https://cdn.sofifa.com/players/229/880/21_60.png
211688;Gayà;José Luís Gayà Peña;25;Spain;83;88;Valencia CF;30500000;46000;LWB;https://cdn.sofifa.com/players/211/688/21_60.png
211117;D. Alli;Dele Alli;24;England;83;87;Tottenham Hotspur;34000000;105000;CAM;https://cdn.sofifa.com/players/211/117/21_60.png
210514;João Cancelo;João Pedro Cavaco Cancelo;26;Portugal;83;86;Manchester City;28000000;140000;RWB;https://cdn.sofifa.com/players/210/514/21_60.png
199482;A. Lopes;Anthony Lopes;29;Portugal;83;84;Olympique Lyonnais;21000000;69000;GK;https://cdn.sofifa.com/players/199/482/21_60.png
199564;Sergi Roberto;Sergio Roberto Carnicer;28;Spain;83;83;FC Barcelona;22000000;175000;RB;https://cdn.sofifa.com/players/199/564/21_60.png
199845;F. Acerbi;Francesco Acerbi;32;Italy;83;83;Lazio;16500000;75000;CB;https://cdn.sofifa.com/players/199/845/21_60.png
199914;Allan;Allan Marques Loureiro;29;Brazil;83;83;Everton;25000000;115000;CDM;https://cdn.sofifa.com/players/199/914/21_60.png
200949;Lucas Moura;Lucas Rodrigues M. Silva;27;Brazil;83;83;Tottenham Hotspur;27000000;120000;RM;https://cdn.sofifa.com/players/200/949/21_60.png
203486;T. Hazard;Thorgan Hazard;27;Belgium;83;83;Borussia Dortmund;27000000;78000;LM;https://cdn.sofifa.com/players/203/486/21_60.png
204923;M. Sabitzer;Marcel Sabitzer;26;Austria;83;85;RB Leipzig;31000000;73000;CAM;https://cdn.sofifa.com/players/204/923/21_60.png
205070;Portu;Cristian Portugues Manzanera;28;Spain;83;83;Real Sociedad;26000000;50000;RW;https://cdn.sofifa.com/players/205/070/21_60.png
210413;A. Romagnoli;Alessio Romagnoli;25;Italy;83;87;Milan;30000000;51000;CB;https://cdn.sofifa.com/players/210/413/21_60.png
205498;Jorginho;Luiz Frello Filho Jorge;28;Italy;83;83;Chelsea;25500000;125000;CM;https://cdn.sofifa.com/players/205/498/21_60.png
205600;S. Umtiti;Samuel Umtiti;26;France;83;86;FC Barcelona;28500000;170000;CB;https://cdn.sofifa.com/players/205/600/21_60.png
205678;E. Višća;Edin Višća;30;Bosnia Herzegovina;83;83;Medipol Başakşehir FK;24500000;59000;RM;https://cdn.sofifa.com/players/205/678/21_60.png
207410;M. Kovačić;Mateo Kovačić;26;Croatia;83;86;Chelsea;31500000;120000;CM;https://cdn.sofifa.com/players/207/410/21_60.png
208093;Gerard Moreno;Gerard Moreno Balagueró;28;Spain;83;83;Villarreal CF;27000000;56000;ST;https://cdn.sofifa.com/players/208/093/21_60.png
208574;F. Kostić;Filip Kostić;27;Serbia;83;83;Eintracht Frankfurt;27000000;45000;LM;https://cdn.sofifa.com/players/208/574/21_60.png
230481;Ronaldo Cabrais;Ronaldo Jailson Cabrais Petri;28;Brazil;83;83;Grêmio;26000000;49000;RM;https://cdn.sofifa.com/players/230/481/21_60.png
225953;S. Bergwijn;Steven Bergwijn;22;Netherlands;83;88;Tottenham Hotspur;34500000;105000;CAM;https://cdn.sofifa.com/players/225/953/21_60.png
231443;O. Dembélé;Ousmane Dembélé;23;France;83;89;FC Barcelona;35500000;175000;LM;https://cdn.sofifa.com/players/231/443/21_60.png
186942;I. Gündoğan;İlkay Gündoğan;29;Germany;83;83;Manchester City;25000000;160000;CM;https://cdn.sofifa.com/players/186/942/21_60.png
184134;Fernando;Fernando Reges;32;Brazil;83;83;Sevilla FC;17000000;39000;CDM;https://cdn.sofifa.com/players/184/134/21_60.png
183512;Yuri Berchiche;Yuri Berchiche Izeta;30;Spain;83;83;Athletic Club de Bilbao;20500000;35000;LB;https://cdn.sofifa.com/players/183/512/21_60.png
181872;A. Vidal;Arturo Vidal;33;Chile;83;83;Inter;15000000;125000;CM;https://cdn.sofifa.com/players/181/872/21_60.png
235212;A. Hakimi;Achraf Hakimi;21;Morocco;83;88;Inter;35000000;92000;RM;https://cdn.sofifa.com/players/235/212/21_60.png
178562;E. Banega;Éver Banega;32;Argentina;83;83;Al Shabab;19500000;55000;CM;https://cdn.sofifa.com/players/178/562/21_60.png
